room_type,bedrooms,bathrooms,price,host_is_superhost,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms
Entire home/apt,0.0,1.0,97.0,f,1,0,4.93,4.8,0
Entire home/apt,2.0,1.0,110.0,f,7,2,4.54,4.39,0
Private room,1.0,1.0,100.0,t,2,5,4.13,4.65,1
Private room,2.0,1.0,358.0,t,2,20,5.0,5.0,1
Entire home/apt,3.0,2.0,771.0,t,2,20,4.88,4.88,1
Entire home/apt,3.0,2.0,390.0,f,2,0,4.88,5.0,0
Entire home/apt,2.0,1.0,203.0,t,1,7,4.81,4.77,0
Entire home/apt,3.0,2.0,689.0,t,2,13,4.8,4.75,0
Entire home/apt,1.0,1.0,100.0,t,2,3,4.67,4.25,0
Entire home/apt,2.0,1.0,356.0,f,1,24,4.74,4.89,0
Entire home/apt,3.0,2.0,329.0,f,2,13,4.78,4.8,0
Private room,1.0,1.0,76.0,t,2,12,4.84,4.86,2
Entire home/apt,2.0,1.0,200.0,t,3,2,4.75,4.81,0
Entire home/apt,2.0,2.0,950.0,f,1,0,4.83,4.83,0
Private room,1.0,1.0,120.0,t,5,17,4.94,4.97,3
Entire home/apt,3.0,2.5,700.0,f,1,0,5.0,5.0,0
Private room,1.0,1.5,125.0,t,2,4,4.88,4.91,1
Entire home/apt,1.0,1.0,152.0,t,2,8,4.78,4.88,0
Private room,2.0,1.0,60.0,f,3,16,4.73,4.45,3
Private room,1.0,1.0,47.0,f,2,0,4.8,4.55,2
Entire home/apt,1.0,1.0,150.0,t,3,14,4.92,4.95,0
Entire home/apt,2.0,1.0,120.0,f,1,0,4.7,4.9,0
Private room,2.0,1.0,153.0,t,2,15,4.87,4.8,2
Entire home/apt,1.0,1.0,106.0,t,1,2,4.89,4.71,0
Entire home/apt,2.0,2.0,217.0,t,2,0,4.85,4.55,0
Entire home/apt,0.0,1.0,882.0,t,6,0,4.97,4.93,0
Entire home/apt,1.0,1.0,119.0,t,4,11,4.87,4.93,0
Private room,1.0,1.0,147.0,t,2,24,4.92,4.9,2
Entire home/apt,1.0,1.0,304.0,f,1,30,4.85,4.98,0
Entire home/apt,1.0,1.0,143.0,t,5,0,4.86,4.92,1
Entire home/apt,1.0,1.0,208.0,t,1,28,4.91,4.9,0
Entire home/apt,3.0,2.0,945.0,t,2,0,4.98,4.94,0
Private room,1.0,2.0,126.0,t,2,28,4.89,4.97,2
Entire home/apt,3.0,2.0,603.0,t,1,10,4.96,4.89,0
Entire home/apt,1.0,1.0,143.0,t,1,11,4.47,4.8,0
Entire home/apt,1.0,1.0,113.0,t,2,11,4.92,4.71,0
Private room,2.0,1.5,113.0,t,1,5,4.93,4.96,1
Entire home/apt,1.0,1.0,266.0,t,1,3,4.98,4.96,0
Entire home/apt,2.0,1.0,149.0,t,2,11,4.86,4.87,0
Entire home/apt,0.0,1.0,130.0,t,5,0,4.78,4.83,0
Entire home/apt,1.0,1.0,250.0,t,3,16,4.96,4.88,0
Entire home/apt,1.0,1.0,200.0,f,1,1,4.63,4.58,0
Entire home/apt,3.0,1.5,728.0,t,1,17,4.89,4.98,0
Entire home/apt,2.0,1.0,149.0,t,1,0,4.96,4.74,0
Entire home/apt,2.0,1.0,165.0,f,1,0,4.66,4.78,0
Entire home/apt,1.0,1.0,162.0,t,1,7,4.8,4.88,0
Private room,1.0,1.0,150.0,f,2,0,4.71,4.83,1
Entire home/apt,1.0,1.0,194.0,t,1,5,4.98,4.95,0
Entire home/apt,0.0,1.0,130.0,t,1,0,4.72,4.81,0
Private room,1.0,1.0,151.0,t,1,19,4.97,4.92,1
Private room,1.0,1.0,124.0,t,1,5,4.93,4.77,1
Entire home/apt,1.0,1.0,214.0,f,1,0,4.93,4.86,0
Private room,1.0,1.0,90.0,t,4,1,4.02,4.4,2
Private room,1.0,1.0,73.0,t,4,11,4.46,4.5,2
Entire home/apt,1.0,1.0,225.0,f,2,30,4.94,4.89,0
Entire home/apt,1.0,1.0,165.0,t,1,0,4.92,4.97,0
Entire home/apt,2.0,1.0,225.0,t,1,1,4.91,4.91,0
Private room,1.0,1.0,40.0,f,1,30,4.38,3.75,1
Entire home/apt,1.0,1.0,221.0,t,1,3,4.92,4.83,0
Entire home/apt,3.0,2.5,525.0,t,2,15,4.94,4.95,0
Entire home/apt,2.0,2.0,190.0,f,1,0,4.64,4.82,0
Entire home/apt,1.0,1.0,140.0,f,1,16,4.82,4.69,0
Entire home/apt,3.0,2.0,275.0,t,1,2,4.84,4.63,0
Entire home/apt,1.0,1.0,197.0,t,3,10,4.91,4.93,0
Entire home/apt,1.0,1.0,165.0,t,1,0,4.91,4.73,0
Entire home/apt,0.0,1.0,168.0,t,1,25,4.94,4.93,0
Private room,1.0,1.5,56.0,t,12,7,5.0,5.0,12
Entire home/apt,1.0,1.0,197.0,f,1,14,4.82,4.89,0
Entire home/apt,0.0,1.0,200.0,f,1,29,4.96,4.96,0
Private room,1.0,1.0,103.0,t,3,5,4.97,4.93,1
Entire home/apt,4.0,2.0,432.0,t,3,19,4.75,4.95,2
Private room,1.0,3.0,60.0,t,5,7,4.74,4.79,5
Entire home/apt,1.0,1.0,178.0,f,2,0,4.63,4.03,0
Entire home/apt,1.0,1.0,150.0,t,1,0,4.97,4.97,0
Entire home/apt,1.0,1.0,177.0,t,1,6,4.91,4.91,0
Entire home/apt,1.0,1.0,109.0,t,4,0,4.76,4.84,0
Entire home/apt,1.0,1.0,239.0,t,1,4,4.98,4.91,0
Entire home/apt,2.0,2.0,145.0,t,1,0,4.81,4.75,0
Entire home/apt,4.0,3.5,896.0,f,1,7,4.91,4.96,0
Entire home/apt,2.0,1.0,85.0,t,1,0,4.8,4.05,0
Entire home/apt,2.0,1.0,170.0,f,4,0,4.75,5.0,0
Private room,1.0,1.5,93.0,f,1,1,4.81,4.91,1
Entire home/apt,3.0,2.5,564.0,t,1,21,4.82,4.84,0
Entire home/apt,0.0,1.0,87.0,t,1,0,4.72,4.67,0
Entire home/apt,1.0,1.0,128.0,t,1,20,4.83,4.74,0
Private room,1.0,1.0,114.0,t,2,0,4.71,4.79,1
Entire home/apt,1.0,1.0,150.0,t,6,17,4.47,4.5,0
Entire home/apt,0.0,1.0,151.0,t,1,0,5.0,5.0,0
Private room,1.0,1.0,104.0,t,1,8,4.84,4.88,1
Entire home/apt,3.0,2.0,300.0,t,6,2,4.44,4.56,0
Entire home/apt,4.0,2.5,560.0,t,2,0,5.0,4.88,0
Entire home/apt,3.0,1.0,585.0,t,1,15,4.97,4.92,0
Private room,1.0,1.0,114.0,t,1,19,4.9,4.81,1
Entire home/apt,1.0,1.0,114.0,t,2,2,4.52,4.79,0
Private room,1.0,1.0,100.0,f,1,0,4.8,4.82,1
Private room,1.0,1.0,66.0,t,3,10,4.93,4.89,3
Entire home/apt,1.0,1.0,227.0,t,1,30,4.62,4.92,0
Entire home/apt,0.0,1.0,120.0,t,4,1,4.88,4.43,0
Entire home/apt,1.0,1.0,140.0,f,1,23,4.87,4.91,0
Private room,1.0,1.5,124.0,t,6,0,4.82,4.86,4
Entire home/apt,1.0,1.0,121.0,t,3,13,4.88,4.9,0
Entire home/apt,3.0,2.0,392.0,f,1,11,4.88,4.95,0
Private room,1.0,2.0,155.0,t,1,21,4.91,4.91,1
Private room,2.0,1.0,198.0,t,1,21,4.61,4.76,1
Entire home/apt,1.0,1.0,111.0,t,1,1,4.76,4.81,0
Entire home/apt,3.0,2.0,473.0,f,2,0,4.86,4.98,0
Entire home/apt,1.0,1.0,135.0,t,2,12,4.89,4.79,0
Private room,1.0,1.0,176.0,t,1,22,4.93,4.86,1
