bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
2.0,1.0,200.0,3,2,4.75,4.81,0,False,False,False,True
2.0,2.0,950.0,1,0,4.83,4.83,0,False,False,False,False
1.0,1.0,120.0,5,17,4.94,4.97,3,False,True,False,True
3.0,2.5,700.0,1,0,5.0,5.0,0,False,False,False,False
1.0,1.5,125.0,2,4,4.88,4.91,1,False,True,False,True
1.0,1.0,152.0,2,8,4.78,4.88,0,False,False,False,True
2.0,1.0,60.0,3,16,4.73,4.45,3,False,True,False,False
1.0,1.0,47.0,2,0,4.8,4.55,2,False,True,False,False
1.0,1.0,150.0,3,14,4.92,4.95,0,False,False,False,True
2.0,1.0,120.0,1,0,4.7,4.9,0,False,False,False,False
2.0,1.0,153.0,2,15,4.87,4.8,2,False,True,False,True
1.0,1.0,106.0,1,2,4.89,4.71,0,False,False,False,True
2.0,2.0,217.0,2,0,4.85,4.55,0,False,False,False,True
0.0,1.0,882.0,6,0,4.97,4.93,0,False,False,False,True
1.0,1.0,119.0,4,11,4.87,4.93,0,False,False,False,True
1.0,1.0,147.0,2,24,4.92,4.9,2,False,True,False,True
1.0,1.0,304.0,1,30,4.85,4.98,0,False,False,False,False
1.0,1.0,143.0,5,0,4.86,4.92,1,False,False,False,True
1.0,1.0,208.0,1,28,4.91,4.9,0,False,False,False,True
3.0,2.0,945.0,2,0,4.98,4.94,0,False,False,False,True
1.0,2.0,126.0,2,28,4.89,4.97,2,False,True,False,True
3.0,2.0,603.0,1,10,4.96,4.89,0,False,False,False,True
1.0,1.0,143.0,1,11,4.47,4.8,0,False,False,False,True
1.0,1.0,113.0,2,11,4.92,4.71,0,False,False,False,True
2.0,1.5,113.0,1,5,4.93,4.96,1,False,True,False,True
1.0,1.0,266.0,1,3,4.98,4.96,0,False,False,False,True
2.0,1.0,149.0,2,11,4.86,4.87,0,False,False,False,True
0.0,1.0,130.0,5,0,4.78,4.83,0,False,False,False,True
1.0,1.0,250.0,3,16,4.96,4.88,0,False,False,False,True
1.0,1.0,200.0,1,1,4.63,4.58,0,False,False,False,False
3.0,1.5,728.0,1,17,4.89,4.98,0,False,False,False,True
2.0,1.0,149.0,1,0,4.96,4.74,0,False,False,False,True
2.0,1.0,165.0,1,0,4.66,4.78,0,False,False,False,False
1.0,1.0,162.0,1,7,4.8,4.88,0,False,False,False,True
1.0,1.0,150.0,2,0,4.71,4.83,1,False,True,False,False
1.0,1.0,194.0,1,5,4.98,4.95,0,False,False,False,True
0.0,1.0,130.0,1,0,4.72,4.81,0,False,False,False,True
1.0,1.0,151.0,1,19,4.97,4.92,1,False,True,False,True
1.0,1.0,124.0,1,5,4.93,4.77,1,False,True,False,True
1.0,1.0,214.0,1,0,4.93,4.86,0,False,False,False,False
1.0,1.0,90.0,4,1,4.02,4.4,2,False,True,False,True
1.0,1.0,73.0,4,11,4.46,4.5,2,False,True,False,True
1.0,1.0,225.0,2,30,4.94,4.89,0,False,False,False,False
1.0,1.0,165.0,1,0,4.92,4.97,0,False,False,False,True
2.0,1.0,225.0,1,1,4.91,4.91,0,False,False,False,True
1.0,1.0,40.0,1,30,4.38,3.75,1,False,True,False,False
1.0,1.0,221.0,1,3,4.92,4.83,0,False,False,False,True
3.0,2.5,525.0,2,15,4.94,4.95,0,False,False,False,True
2.0,2.0,190.0,1,0,4.64,4.82,0,False,False,False,False
1.0,1.0,140.0,1,16,4.82,4.69,0,False,False,False,False
3.0,2.0,275.0,1,2,4.84,4.63,0,False,False,False,True
